Probe Name,Annotation,h3k4me3,20191001_cd1_J11_11.RCC,20191001_cd1_J01_01.RCC,20191001_cd1_J03_03.RCC,20191001_cd1_J06_06.RCC,20191001_cd1_J07_07.RCC,20191001_cd2_J14_02.RCC,20191001_cd2_M02_04.RCC,20191001_cd2_M08_10.RCC,20191001_cd2_M09_11.RCC,20191002_cd3_M20_10.RCC,20191002_cd3_M21_11.RCC,20191003_cd4_M32_10.RCC,20191001_cd1_J10_10.RCC,20191001_cd1_J12_12.RCC,20191001_cd1_J02_02.RCC,20191001_cd1_J04_04.RCC,20191001_cd1_J05_05.RCC,20191001_cd1_J08_08.RCC,20191001_cd1_J09_09.RCC,20191001_cd2_J13_01.RCC,20191001_cd2_M10_12.RCC,20191001_cd2_M01_03.RCC,20191001_cd2_M03_05.RCC,20191001_cd2_M04_06.RCC,20191001_cd2_M05_07.RCC,20191001_cd2_M06_08.RCC,20191001_cd2_M07_09.RCC,20191002_cd3_M11_01.RCC,20191002_cd3_M12_02.RCC,20191002_cd3_M13_03.RCC,20191002_cd3_M14_04.RCC,20191002_cd3_M15_05.RCC,20191002_cd3_M16_06.RCC,20191002_cd3_M17_07.RCC,20191002_cd3_M18_08.RCC,20191002_cd3_M19_09.RCC,20191002_cd3_M22_12.RCC,20191003_cd4_M23_01.RCC,20191003_cd4_M24_02.RCC,20191003_cd4_M25_03.RCC,20191003_cd4_M26_04.RCC,20191003_cd4_M27_05.RCC,20191003_cd4_M28_06.RCC,20191003_cd4_M29_07.RCC,20191003_cd4_M30_08.RCC,20191003_cd4_M31_09.RCC,20191003_cd4_M33_11.RCC,20191003_cd4_M34_12.RCC
C19orf70_prmtr.54554,Deniz,gain,47.01,2091.24,225.8,181.35,857.24,117.99,60.25,41.08,166.2,40.94,69.02,27.3,9.84,12.28,5.06,24.53,2.63,1.83,3.72,9.72,2.25,4.88,1.56,6.99,8.09,5.01,1,1,1.26,1.81,10.21,12.61,4.53,2.4,17.74,2.83,10.31,2.6,10,6.02,1,7.26,6.61,5.8,2.96,2.94,2.82,2.7
C20orf112_prmtr.64498,Deniz,gain,47.01,1045.62,451.59,120.9,1714.48,471.98,120.51,102.7,166.2,163.77,69.02,27.3,54.09,11.05,35.43,16.36,5.25,9.14,22.29,17.49,27.37,35.76,29.71,34.94,47.31,38.4,33.05,15.32,16.97,6.35,26.53,12.61,19.52,28.81,10.35,22.07,10.31,12.48,18.33,27.25,28.72,55.15,25.33,52.22,18.91,27.43,6.82,18.89
C4orf33_prmtr.39264,Deniz,gain,94.02,1045.62,225.8,181.35,1714.48,235.99,241.02,143.78,498.6,163.77,151.84,136.5,54.09,13.51,15.18,8.18,15.76,10.97,14.86,3.89,10.5,20.32,21.89,109.47,39.22,20.87,12.85,8.81,44.63,26.29,102.05,31.53,4.88,136.84,128.6,30.56,51.56,19.25,29.99,25.48,31.41,30.48,5.87,11.61,31.32,16.16,21.16,39.59
C4orf36_prmtr.45548,Deniz,loss,47.01,1045.62,225.8,60.45,857.24,353.98,120.51,82.16,166.2,40.94,41.41,13.65,118.02,148.57,86.04,24.53,88.02,78.61,81.74,178.79,182.24,109.71,90.68,216.61,246.51,419.08,139.09,182.75,234.45,78.87,71.44,75.67,117.13,36.01,28.09,105.26,46.41,207.03,159.97,172.02,33.21,66.76,266.17,84.72,67.37,198.34,68.41,75.57
CALD1_prmtr.23136,Deniz,gain,47.01,1045.62,225.8,60.45,857.24,117.99,361.53,20.54,166.2,102.36,110.43,81.9,44.26,24.56,55.67,32.71,28.9,34.73,22.29,29.15,33,36.57,29.71,60.56,33.62,57.6,28.92,23.75,53.43,31.73,65.32,12.61,22.66,36.01,25.13,19.24,18.91,61.38,29.99,25.48,19.74,29.03,52.87,13.93,30.14,35.75,13.64,26.09
CALD1_prmtr.23139,Deniz,gain,47.01,1045.62,451.59,181.35,1714.48,117.99,180.76,41.08,332.4,20.47,41.41,54.6,14.75,11.05,10.12,16.36,17.08,14.62,14.86,25.26,20.62,14.63,21.89,18.63,18.05,21.71,17.44,26.44,41.49,9.97,8.16,12.61,16.38,9.6,2.96,7.92,6.87,10.4,13.33,10.97,4.49,10.16,12.85,13.93,7.09,14.69,14.11,9.9
CAMTA2_prmtr.16188,Deniz,loss,376.1,1045.62,677.39,846.31,3428.95,471.98,241.02,102.7,166.2,409.42,165.64,40.95,368.82,492.36,136.65,1750.09,206.25,742.18,1177.83,196.28,191.99,41.45,142.28,83.85,44.82,63.45,61.97,119.92,64.11,159.55,36.74,37.83,30.68,110.43,158.17,15.85,128.91,29.65,11.66,25.13,27.82,76.92,6.61,102.12,47.87,22.53,65.35,40.49
CANX_prmtr.25041,Deniz,loss,564.15,1045.62,1128.98,725.41,2571.71,943.95,7772.88,1725.37,5152.23,2047.11,1642.62,3849.33,88.52,239.43,156.89,318.94,777.72,118.82,553.62,36.92,81,356.76,1019.39,1837.73,806.15,303.04,143.22,98.46,662.5,796.85,1596.14,315.29,48.11,566.56,218.77,306.17,122.03,205.47,428.25,100.17,1194.57,525.41,190.54,203.09,514.18,776.72,140.58,588.4
CASKIN2_prmtr.55921,Deniz,loss,611.16,1045.62,1354.77,725.41,2571.71,707.96,1205.1,390.26,2659.22,757.43,552.14,191.1,472.1,136.29,506.11,278.05,186.55,493.57,341.83,89.4,84.37,164.16,261.1,1213.51,175.55,142.75,402.57,183.13,72.28,422.45,134.71,81.98,240.19,76.82,76.87,17.54,55,82.71,84.98,14.51,46.67,30.48,15.79,20.89,37.23,42.12,38.55,37.79
CASP8_prmtr.4402,Deniz,gain,188.05,2091.24,451.59,120.9,2571.71,943.95,482.04,287.56,166.2,266.12,234.66,245.7,122.94,147.34,111.34,89.96,143.2,144.41,70.6,176.85,145.87,171.47,131.33,214.29,245.89,225.4,154.69,177.77,214.34,154.11,83.68,88.28,147.81,76.82,239.47,129.03,194.22,125.36,291.61,197.86,91.54,76.92,238.64,126.5,97.52,171.41,159.39,120.56
CASP8_prmtr.4404,Deniz,gain,141.04,2091.24,225.8,60.45,857.24,1179.94,6447.27,20.54,1163.41,20.47,41.41,27.3,9.84,6.14,10.12,40.89,82.76,3.66,3.72,54.42,2.62,1,1.56,11.65,1.87,1.67,1.84,4.6,10.06,1,63.27,31.53,1.74,12,68,1.7,1.72,34.33,15,1.42,7.18,13.06,2.57,1.16,2.96,2.94,1,1
CASP8_prmtr.4405,Deniz,gain,47.01,1045.62,225.8,120.9,857.24,3421.82,6025.49,41.08,166.2,40.94,13.8,13.65,4.92,1.23,10.12,8.18,241.72,7.31,11.15,46.64,3,1,4.69,2.33,3.74,2.5,2.75,1.92,7.54,5.44,30.62,6.31,2.09,9.6,47.3,3.4,3.44,36.93,5,1.77,16.15,10.16,1.1,3.48,4.14,5.88,2.12,3.6
CAST_prmtr.40075,Deniz,loss,329.09,1045.62,1128.98,241.8,1714.48,1179.94,2530.7,554.58,1329.61,388.95,179.45,191.1,63.93,73.67,55.67,81.78,63.06,51.18,78.03,71.91,55.87,53.64,29.71,395.96,275.77,156.95,58.3,95.01,331.88,93.37,153.08,189.17,18.83,132.04,128.6,11.88,123.75,48.38,71.65,24.42,110.39,79.83,17.26,61.51,107.56,103.82,117.31,103.47
CAST_prmtr.40077,Deniz,gain,47.01,1045.62,225.8,120.9,1714.48,235.99,180.76,20.54,166.2,40.94,27.61,40.95,4.92,2.46,5.06,32.71,2.63,3.66,7.43,5.83,1.5,3.25,1.56,11.65,1.87,1.67,1,1,2.51,2.72,8.16,6.31,1.39,2.4,2.96,3.4,5.16,1,1.67,1.06,1.79,4.35,1,3.48,1.18,2.45,1.88,2.7
CBX5_prmtr.10126,Deniz,gain,47.01,1045.62,225.8,60.45,857.24,117.99,60.25,20.54,166.2,20.47,13.8,13.65,9.84,3.68,5.06,8.18,1.31,5.48,14.86,7.77,1.87,1.63,6.25,6.99,4.98,1.67,2.3,1.92,2.51,3.63,2.04,6.31,4.18,4.8,2.96,2.26,3.44,1.56,8.33,3.89,2.69,2.9,2.57,5.8,4.14,1,1,1.8
CCDC130_prmtr.14055,Deniz,gain,282.07,1045.62,903.18,906.76,6857.9,825.96,482.04,205.4,1662.01,716.49,386.5,150.15,191.79,137.52,222.69,286.23,65.69,89.57,104.04,62.19,40.12,37.38,26.58,65.22,56.03,39.24,48.2,40.99,46.51,68.9,244.93,94.59,27.19,86.42,68,28.3,55,30.17,88.32,34.33,61.93,55.15,23.86,45.26,28.37,34.28,25.62,38.69
CCM2_prmtr.30689,Deniz,gain,47.01,1045.62,225.8,120.9,857.24,117.99,60.25,20.54,166.2,614.13,455.52,150.15,4.92,1.23,10.12,8.18,2.63,3.66,3.72,7.77,2.62,26.82,1.56,16.3,9.34,8.35,2.3,2.3,6.91,19.04,322.49,31.53,17.08,48.01,541.02,37.92,80.78,10.92,8.33,10.97,171.42,69.67,4.41,6.96,5.91,2.94,30.8,27.89
CDC25B_prmtr.11902,Deniz,gain,47.01,1045.62,225.8,120.9,857.24,471.98,120.51,164.32,166.2,102.36,151.84,109.2,270.47,319.23,263.18,310.76,91.96,431.42,260.09,17.49,181.49,213.73,131.33,135.09,205.43,234.58,114.3,150.18,157.14,115.13,71.44,227.01,232.52,348.1,331.11,490.1,617.03,338.11,696.53,389.69,409.26,165.46,145.75,8721.23,274.82,44.57,181.49,327.49
CDC42SE2_prmtr.42688,Deniz,loss,141.04,1045.62,225.8,725.41,857.24,117.99,421.78,164.32,664.8,2395.12,2512.25,4231.53,629.46,65.07,106.28,8.18,28.9,14.62,122.61,19.43,238.49,128.4,526.89,118.79,40.46,44.25,22.03,73.56,74.17,280.12,332.7,435.1,126.2,412.91,1494.45,52.07,495,99.35,173.3,48.84,788,174.17,272.41,201.93,261.22,57.3,11.28,322.99
CDK2AP1_prmtr.17691,Deniz,loss,423.11,2091.24,903.18,604.51,1714.48,1415.93,2831.98,1971.85,332.4,839.32,2208.57,1132.96,152.45,276.26,556.72,646.06,520.23,204.74,557.33,29.15,49.5,351.08,120.39,139.75,257.1,217.05,129.45,200.76,872.44,515.82,987.89,327.9,116.79,470.53,437.54,146.58,79.06,133.68,588.22,81.41,361.69,621.2,90.31,309.86,265.95,26.45,210.87,61.18
CDR2_prmtr.33743,Deniz,gain,235.06,1045.62,225.8,483.61,1714.48,1297.93,361.53,554.58,498.6,348.01,690.18,395.85,191.79,300.82,668.06,417.08,245.67,464.32,490.45,231.27,235.86,351.08,215.76,314.44,384.71,334.76,412.67,272.02,319.31,258.36,332.7,321.59,220.67,357.7,459.72,236.56,238.9,258.52,986.48,214.14,218.99,333.82,473.6,270.4,226.36,240.46,228.97,199.73
CEP112_prmtr.40586,Deniz,gain,235.06,1045.62,677.39,181.35,2571.71,235.99,60.25,184.86,166.2,409.42,151.84,109.2,59.01,135.06,55.67,24.53,110.35,170.01,118.9,81.62,182.99,94.27,125.08,214.29,224.1,191.17,156.99,177,242.63,96.09,59.19,157.64,123.76,40.81,159.64,155.63,142.66,106.63,129.98,302.27,33.21,71.12,85.54,107.93,91.02,95.5,95.92,138.55
CEP112_prmtr.40587,Deniz,gain,141.04,1045.62,225.8,60.45,1714.48,589.97,60.25,41.08,332.4,163.77,41.41,27.3,44.26,11.05,40.49,40.89,35.47,25.59,26.01,29.15,15,13,21.89,34.94,18.05,15.86,16.53,18.39,36.46,17.22,22.45,31.53,9.41,24.01,7.39,9.05,15.47,10.92,26.66,10.97,11.67,13.06,25.33,9.28,10.05,7.35,31.5,17.99
CHD2_prmtr.53784,Deniz,loss,329.09,1045.62,1354.77,241.8,857.24,117.99,542.29,123.24,1163.41,470.84,193.25,81.9,132.78,130.15,232.81,73.6,204.94,188.29,178.35,163.25,184.11,154.41,120.39,393.63,344.87,247.11,190.04,286.58,316.8,169.52,216.36,151.34,136.31,148.84,155.21,67.91,171.87,349.55,248.29,111.49,123.85,133.53,77.83,167.11,95.74,293.84,185.48,157.45
CIRBP_prmtr.10459,Deniz,loss,47.01,2091.24,677.39,302.25,857.24,589.97,60.25,41.08,166.2,327.54,124.23,109.2,19.67,321.69,126.53,106.31,115.61,438.73,196.92,56.36,66,73.14,7.82,25.62,31.75,35.9,9.18,33.33,29.54,20.85,16.33,25.22,86.11,12,50.26,3.96,27.5,13.52,25,10.62,15.26,24.67,22.03,10.44,8.87,5.88,14.11,9
CIZ1_prmtr.37974,Deniz,loss,611.16,2091.24,903.18,1329.92,857.24,353.98,241.02,164.32,498.6,614.13,800.61,300.3,186.87,713.37,587.09,539.75,277.2,1824.37,1003.2,256.53,224.99,190.98,57.85,83.85,95.24,70.96,62.89,86.59,98.06,145.05,140.84,182.87,267.39,136.84,248.34,28.86,55,56.7,164.97,44.24,54.75,47.9,46.99,47.58,44.33,52.4,50.07,32.39
CLCN3_prmtr.16757,Deniz,gain,47.01,1045.62,225.8,60.45,857.24,117.99,60.25,20.54,166.2,20.47,13.8,13.65,4.92,3.68,15.18,8.18,9.2,7.31,14.86,120.49,4.12,7.31,1.56,2.33,3.11,11.69,3.67,22.99,35.83,6.35,2.04,12.61,9.41,4.8,2.96,7.36,3.44,4.68,3.33,9.56,3.59,4.35,8.81,5.8,3.55,12.24,9.17,10.8
CLK3_prmtr.56979,Deniz,gain,47.01,1045.62,677.39,60.45,3428.95,1179.94,180.76,492.96,498.6,307.07,138.04,40.95,103.27,218.55,268.24,40.89,236.47,191.94,193.21,289.57,390.35,310.44,245.47,398.29,440.11,377.34,321.32,403.43,511.02,184.03,144.92,264.84,297.37,52.81,146.34,205.43,321.4,361,654.88,378.37,81.67,158.2,292.6,248.35,197.4,301.68,272.7,278.01
CMC1_prmtr.61810,Deniz,loss,846.22,33459.84,4967.49,2055.33,15430.28,3893.79,1024.33,246.48,8143.85,7451.48,717.79,846.31,113.11,46.66,146.77,212.63,31.53,38.39,111.47,60.25,54,144.66,301.75,228.26,49.18,159.45,171.22,103.44,101.2,421.54,1008.3,510.77,171.52,117.63,109.39,35.09,53.28,44.21,143.31,20.88,38.59,104.5,34.88,29.01,17.73,145.45,9.17,26.99
COPS7B_prmtr.36134,Deniz,gain,47.01,1045.62,225.8,120.9,857.24,117.99,60.25,82.16,498.6,81.88,13.8,40.95,14.75,6.14,45.55,8.18,9.2,7.31,18.58,13.6,10.5,11.38,26.58,18.63,16.81,11.69,15.61,14.18,21.37,12.69,8.16,18.92,10.81,4.8,20.69,9.62,22.34,9.36,11.66,11.68,1,8.71,8.08,11.61,4.14,2.45,4.47,9.9
CREM_prmtr.10265,Deniz,gain,141.04,5228.1,1806.36,181.35,5143.43,117.99,60.25,41.08,166.2,388.95,303.68,109.2,68.85,14.73,65.79,32.71,24.96,7.31,3.72,7.77,43.5,2.44,3.13,37.27,13.07,23.37,6.43,96.93,3.77,21.76,6.12,18.92,1.05,16.8,7.39,2.83,13.75,8.84,21.66,4.25,1,47.9,18.36,4.64,2.96,62.2,1.65,27.89
CREM_prmtr.10272,Deniz,gain,564.15,4182.48,1354.77,120.9,2571.71,707.96,1084.59,267.02,1828.21,184.24,400.3,382.2,68.85,36.83,50.61,302.59,36.78,27.42,66.88,17.49,8.25,50.39,54.72,184.01,44.2,20.87,9.18,8.43,41.49,31.73,97.97,63.06,13.6,79.22,199.56,17.54,139.22,37.45,73.32,35.04,55.64,34.83,24.23,25.53,37.82,16.16,9.87,37.79
CTAGE5_prmtr.38846,Deniz,loss,141.04,1045.62,225.8,181.35,1714.48,471.98,180.76,123.24,498.6,348.01,124.23,109.2,285.22,191.54,75.92,171.74,44.67,73.12,37.16,155.47,101.62,131.65,71.92,104.81,52.91,163.62,114.3,106.51,88,102.44,79.6,88.28,89.24,69.62,175.9,20.37,72.19,103.51,238.29,325.28,58.34,116.11,384.39,37.14,68.56,75.91,74.05,97.17
CTAGE5_prmtr.38848,Deniz,loss,47.01,1045.62,225.8,181.35,857.24,235.99,60.25,390.26,2160.61,859.79,303.68,232.05,177.04,82.26,156.89,24.53,17.08,53.01,118.9,3.89,152.24,120.28,273.61,114.13,148.16,168.63,297.91,133.33,78.57,333.61,271.47,126.12,185.81,285.68,335.55,60.55,299.06,85.31,158.3,88.13,208.22,65.31,38.55,191.48,57.33,9.31,172.79,138.55
DBNDD1_prmtr.175,Deniz,gain,141.04,1045.62,903.18,60.45,2571.71,707.96,120.51,41.08,498.6,61.41,27.61,40.95,29.51,7.37,15.18,8.18,1.31,3.66,3.72,1.94,4.87,2.44,10.94,11.65,4.98,2.5,6.43,6.13,2.51,8.16,12.25,6.31,3.14,2.4,1.48,3.4,3.44,3.12,6.67,3.89,4.49,8.71,2.2,4.64,2.36,3.92,1.65,7.2
DBP_prmtr.14527,Deniz,loss,47.01,1045.62,225.8,60.45,1714.48,117.99,60.25,20.54,166.2,40.94,13.8,13.65,4.92,4.91,5.06,8.18,1.31,5.48,3.72,1.94,1.12,1.63,1.56,2.33,2.49,3.34,1.38,1.53,3.14,3.63,2.04,12.61,1.05,2.4,2.96,1,1.72,1.56,8.33,1.42,1,4.35,1,1.16,1.18,1.96,1,4.5
DBP_prmtr.14528,Deniz,loss,141.04,1045.62,677.39,181.35,857.24,117.99,120.51,41.08,166.2,266.12,96.62,54.6,24.59,3.68,5.06,49.07,7.88,5.48,11.15,3.89,27,22.75,6.25,16.3,150.02,45.08,5.97,18.01,29.54,7.25,12.25,25.22,7.67,19.21,1.48,8.49,18.91,18.73,15,32.21,1,10.16,11.75,11.61,8.27,68.07,8.7,15.29
DDAH1_prmtr.40364,Deniz,gain,47.01,3136.86,225.8,60.45,857.24,589.97,60.25,61.62,166.2,307.07,151.84,95.55,68.85,76.13,50.61,40.89,63.06,58.5,40.87,66.08,67.12,90.21,48.47,97.83,131.97,115.2,81.25,101.91,94.28,73.43,51.03,81.98,70.42,52.81,70.95,78.66,34.37,70.22,104.98,58.05,40.39,65.31,133.64,74.27,35.46,53.87,54.07,53.08
DEAF1_prmtr.55747,Deniz,gain,329.09,3136.86,903.18,241.8,857.24,471.98,421.78,82.16,498.6,552.72,193.25,395.85,418,135.06,237.87,147.2,77.51,67.64,55.73,112.72,122.62,169.85,111.01,146.74,160.61,250.44,198.76,177.39,148.34,127.82,91.85,189.17,116.09,180.05,656.32,121.68,110,116,246.62,225.11,109.49,114.66,450.47,69.63,65.01,177.77,65.12,99.87
DEF6_prmtr.2169,Deniz,loss,235.06,1045.62,1806.36,60.45,857.24,353.98,482.04,246.48,166.2,491.31,179.45,81.9,59.01,34.38,80.98,57.25,77.51,71.29,59.45,40.81,79.5,55.26,46.9,174.69,190.49,108.53,98.23,90.8,169.08,47.14,48.99,63.06,25.8,40.81,38.43,11.32,42.97,66.06,63.32,16.28,28.72,60.96,13.58,35.98,39.6,58.28,157.04,38.69
DGKA_prmtr.4670,Deniz,loss,47.01,1045.62,225.8,60.45,857.24,117.99,60.25,41.08,166.2,122.83,82.82,81.9,19.67,9.82,10.12,8.18,10.51,1.83,3.72,13.6,5.25,11.38,9.38,13.98,11.21,15.03,2.75,4.98,20.11,7.25,10.21,12.61,8.72,21.61,22.17,15.85,36.09,18.21,10,9.2,6.28,8.71,9.55,12.77,2.36,2.45,8.93,7.2
DGKZ_prmtr.38304,Deniz,gain,94.02,1045.62,225.8,60.45,1714.48,353.98,120.51,102.7,166.2,266.12,82.82,40.95,4.92,38.06,35.43,16.36,36.78,32.9,18.58,50.53,33.37,56.89,34.4,48.91,58.52,42.58,33.97,49.04,62.86,31.73,24.49,56.75,31.72,16.8,39.91,52.07,266.4,31.21,51.66,38.93,22.44,26.13,32.31,30.17,15.37,27.43,77.81,91.77
DGKZ_prmtr.38305,Deniz,gain,470.12,1045.62,903.18,181.35,2571.71,2595.86,180.76,205.4,166.2,429.89,317.48,150.15,162.28,259.07,91.1,98.14,843.41,537.44,312.11,1426.46,129.74,52.01,555.04,272.52,160.61,276.32,44.07,158.61,355.77,211.22,146.96,119.81,191.74,57.62,28.09,208.83,36.09,99.87,203.29,403.85,43.08,242.39,380.72,59.19,46.69,444.19,274.58,107.06
DHX30_prmtr.27685,Deniz,loss,282.07,2091.24,903.18,906.76,3428.95,471.98,241.02,143.78,166.2,634.6,441.71,423.15,250.8,256.62,182.2,188.09,723.86,380.23,274.95,1154.38,175.49,87.77,589.43,356.37,206.05,302.2,45.44,156.7,379.02,324.54,181.66,88.28,251,84.02,56.17,271.08,41.25,210.15,174.97,481.01,84.36,230.77,595.85,63.83,85.7,699.84,126.71,113.36
DIDO1_prmtr.11861,Deniz,gain,188.05,2091.24,225.8,60.45,1714.48,117.99,241.02,677.82,664.8,368.48,207.05,191.1,34.42,94.54,50.61,16.36,14.45,16.45,18.58,19.43,1089.31,21.94,206.38,132.76,212.28,40.91,617.86,436.76,199.25,23.57,104.1,31.53,14.29,43.21,41.39,6.79,18.91,15.08,33.33,21.94,21.54,58.06,19.46,40.62,5.91,12.73,11.99,10.8
DIXDC1_prmtr.38953,Deniz,gain,235.06,1045.62,903.18,241.8,857.24,235.99,241.02,102.7,332.4,450.36,207.05,136.5,68.85,33.15,156.89,65.42,30.22,137.1,37.16,25.26,112.49,67.45,76.61,76.86,159.36,39.24,92.72,113.02,81.71,131.45,71.44,37.83,53.69,55.22,63.56,44.71,24.06,40.57,29.99,49.91,70,40.64,55.8,58.03,21.87,25.96,17.4,17.09
DIXDC1_prmtr.38955,Deniz,gain,1128.3,2091.24,451.59,906.76,2571.71,2005.89,482.04,61.62,1163.41,184.24,1062.87,1037.41,113.11,62.62,3304.9,294.41,105.1,235.82,672.51,34.98,134.99,104.83,279.86,398.29,88.4,36.73,175.35,154.4,81.71,175.87,298,94.59,80.18,228.06,431.63,133.56,2169.05,307.42,428.25,76.81,211.81,254,65.72,52.22,138.3,7.84,109.79,144.85
DNAJB1_prmtr.27619,Deniz,gain,3431.9,13593.06,7451.24,5501.03,4286.19,7905.58,4097.33,1047.55,10969.27,4667.41,3726.96,1433.26,855.67,434.65,2095.29,3884.54,660.8,1027.35,2050.98,266.25,190.11,273.06,514.39,547.36,252.74,283.84,524.67,198.84,387.19,476.84,885.84,460.32,138.75,818.63,873.61,150.54,448.59,233.03,344.93,163.88,490.93,452.84,83.34,153.19,230.49,155.25,446.2,253.71
DNMT3A_prmtr.21925,Deniz,gain,47.01,1045.62,225.8,120.9,857.24,117.99,60.25,61.62,166.2,20.47,13.8,40.95,9.84,34.38,30.37,8.18,47.29,38.39,37.16,62.19,63.75,41.45,39.09,55.9,86.53,101.01,57.38,70.49,84.86,38.07,28.58,18.92,30.68,7.2,17.74,14.15,24.06,44.21,66.65,42.12,12.56,8.71,62.05,75.43,15.96,33.3,23.98,18.89
DOCK8_prmtr.15547,Deniz,loss,141.04,1045.62,451.59,302.25,1714.48,471.98,180.76,184.86,166.2,81.88,110.43,68.25,59.01,168.21,232.81,147.2,145.82,290.66,208.07,167.13,199.49,115.4,165.73,235.25,237.18,263.8,154.23,166.66,224.4,223.92,161.25,126.12,102.84,45.61,59.13,54.33,108.28,108.71,306.61,75.74,46.67,71.12,188.71,110.25,65.6,105.29,36.67,73.78
DYM_prmtr.34485,Deniz,loss,235.06,4182.48,225.8,120.9,2571.71,117.99,120.51,123.24,332.4,327.54,303.68,177.45,142.61,54.02,121.47,130.85,53.86,104.2,44.59,60.25,68.25,102.4,89.12,86.18,127.61,120.21,86.76,73.56,82.34,90.65,71.44,88.28,51.25,72.02,144.86,43.58,111.72,79.59,293.28,101.94,112.19,78.38,128.86,61.51,50.24,80.81,43.73,66.58
EDEM2_prmtr.8955,Deniz,gain,47.01,2091.24,1128.98,60.45,1714.48,235.99,60.25,20.54,166.2,204.71,138.04,95.55,44.26,9.82,15.18,81.78,11.82,25.59,3.72,27.21,8.62,34.13,6.25,11.65,24.28,15.03,16.98,31.8,40.23,33.54,14.29,25.22,19.17,19.21,25.13,15.28,18.91,15.61,26.66,26.55,8.97,36.29,15.42,20.89,28.37,8.33,36.67,54.88
EGLN3_prmtr.26080,Deniz,loss,47.01,2091.24,225.8,60.45,1714.48,117.99,180.76,82.16,332.4,20.47,82.82,13.65,19.67,9.82,15.18,73.6,6.57,10.97,22.29,15.55,7.87,10.56,7.82,23.29,15.56,5.01,6.89,8.43,15.71,23.57,14.29,25.22,3.14,14.4,13.3,5.66,20.62,12.48,28.33,6.37,17.05,26.13,6.24,3.48,8.27,6.86,3.76,6.3
EIF2A_prmtr.36405,Deniz,loss,47.01,1045.62,225.8,544.06,857.24,235.99,180.76,102.7,332.4,122.83,124.23,81.9,68.85,38.06,55.67,89.96,84.08,91.4,33.44,48.59,32.25,58.51,42.21,100.16,50.42,48.42,47.28,54.4,48.4,60.74,71.44,69.36,41.48,76.82,56.17,72.44,48.12,46.29,53.32,62.65,40.39,52.25,37.81,34.82,41.37,49.46,72.64,65.68
ELF2_prmtr.16692,Deniz,gain,47.01,1045.62,225.8,302.25,857.24,589.97,120.51,123.24,166.2,225.18,124.23,81.9,44.26,17.19,35.43,24.53,19.71,36.56,44.59,54.42,10.5,18.69,12.51,46.58,37.35,26.71,22.95,28.73,29.54,12.69,26.53,25.22,16.73,21.61,29.56,31.69,18.91,22.37,28.33,23.36,6.28,30.48,24.6,25.53,11.82,21.06,38.55,26.09
ELP5_prmtr.51483,Deniz,loss,1222.32,2091.24,2483.75,2297.13,6000.66,2595.86,783.31,1109.17,498.6,2190.41,2498.45,1638.01,654.05,694.95,1255.15,1799.16,851.29,1478.88,1619.98,515,610.46,1167.81,598.81,798.91,959.29,788.9,862.06,771.23,714.05,683.53,657.23,668.41,636.22,1010.68,1475.24,897,666.87,672.06,1479.72,799.56,691.97,1065.34,1327.18,666.13,573.87,463.78,768.5,699.06
ENTPD5_prmtr.61786,Deniz,loss,188.05,1045.62,903.18,302.25,857.24,117.99,180.76,369.72,664.8,307.07,151.84,204.75,240.97,284.86,283.42,163.56,246.98,202.91,315.82,145.76,212.24,192.6,186.05,379.66,220.37,244.6,318.11,195.78,225.65,214.85,261.26,264.84,196.27,184.85,218.77,175.44,201.09,188.82,288.28,181.93,108.6,178.52,207.8,104.45,139.48,230.67,318.31,153.85
ERICH1_prmtr.13791,Deniz,loss,188.05,1045.62,903.18,120.9,857.24,589.97,301.27,20.54,498.6,450.36,193.25,177.45,93.44,29.47,75.92,114.49,52.55,89.57,55.73,95.23,85.87,108.9,64.1,149.07,131.35,80.98,62.43,100.76,132.63,77.96,48.99,69.36,46.02,57.62,96.08,62.82,58.44,65.54,93.32,63,56.54,60.96,114.55,74.27,66.19,66.11,39.96,52.18
EVL_prmtr.63619,Deniz,loss,517.14,1045.62,1354.77,967.21,2571.71,471.98,903.82,143.78,4155.03,2231.35,1228.52,914.56,255.72,110.5,161.96,220.81,136.63,193.77,230.36,62.19,81,156.85,136.02,307.45,148.16,99.34,138.63,114.55,93.66,202.16,291.88,81.98,73.56,235.26,403.55,93.94,170.15,144.61,254.95,114.32,315.92,177.07,177.69,71.95,96.33,88.64,51.01,53.08
FAM101A_prmtr.56726,Deniz,loss,1222.32,26140.5,6999.65,2357.59,24002.65,4601.76,2169.17,575.12,6648.04,655.08,814.41,778.06,177.04,52.8,167.02,212.63,47.29,62.15,137.48,93.28,18.37,40.63,65.67,135.09,29.88,25.04,23.87,38.7,42.74,63.46,120.42,214.4,20.92,112.83,84.26,24.34,67.03,17.69,69.99,18.41,39.49,69.67,18.72,45.26,25.41,24.49,6.58,40.49
FAM222B_prmtr.53478,Deniz,gain,47.01,1045.62,225.8,181.35,1714.48,235.99,60.25,61.62,166.2,81.88,82.82,40.95,9.84,62.62,15.18,114.49,48.61,36.56,78.03,19.43,28.12,21.94,54.72,79.19,15.56,14.19,17.44,23.37,30.8,51.67,95.93,75.67,21.27,43.21,23.65,36.22,36.09,21.85,36.66,13.8,16.15,47.9,3.67,46.42,23.05,13.71,16.93,12.6
