Probe Name,Annotation,h3k4me3,20191001_cd1_J11_11.RCC,20191001_cd1_J01_01.RCC,20191001_cd1_J03_03.RCC,20191001_cd1_J06_06.RCC,20191001_cd1_J07_07.RCC,20191001_cd2_J14_02.RCC,20191001_cd2_M02_04.RCC,20191001_cd2_M08_10.RCC,20191001_cd2_M09_11.RCC,20191002_cd3_M20_10.RCC,20191002_cd3_M21_11.RCC,20191003_cd4_M32_10.RCC,20191001_cd1_J10_10.RCC,20191001_cd1_J12_12.RCC,20191001_cd1_J02_02.RCC,20191001_cd1_J04_04.RCC,20191001_cd1_J05_05.RCC,20191001_cd1_J08_08.RCC,20191001_cd1_J09_09.RCC,20191001_cd2_J13_01.RCC,20191001_cd2_M10_12.RCC,20191001_cd2_M01_03.RCC,20191001_cd2_M03_05.RCC,20191001_cd2_M04_06.RCC,20191001_cd2_M05_07.RCC,20191001_cd2_M06_08.RCC,20191001_cd2_M07_09.RCC,20191002_cd3_M11_01.RCC,20191002_cd3_M12_02.RCC,20191002_cd3_M13_03.RCC,20191002_cd3_M14_04.RCC,20191002_cd3_M15_05.RCC,20191002_cd3_M16_06.RCC,20191002_cd3_M17_07.RCC,20191002_cd3_M18_08.RCC,20191002_cd3_M19_09.RCC,20191002_cd3_M22_12.RCC,20191003_cd4_M23_01.RCC,20191003_cd4_M24_02.RCC,20191003_cd4_M25_03.RCC,20191003_cd4_M26_04.RCC,20191003_cd4_M27_05.RCC,20191003_cd4_M28_06.RCC,20191003_cd4_M29_07.RCC,20191003_cd4_M30_08.RCC,20191003_cd4_M31_09.RCC,20191003_cd4_M33_11.RCC,20191003_cd4_M34_12.RCC
SGK1_A,Aditi,loss,47.01,1045.62,677.39,120.9,1714.48,117.99,120.51,41.08,166.2,245.65,138.04,68.25,9.84,4.91,10.12,8.18,5.25,10.97,18.58,66.08,13.12,7.31,6.25,25.62,9.34,11.69,9.18,25.67,49.03,37.17,20.41,25.22,13.25,16.8,16.26,9.05,12.03,6.24,15,7.79,5.38,13.06,12.12,2.32,15.37,2.45,10.11,9
SIX1_A,Aditi,gain,282.07,1045.62,677.39,362.71,857.24,117.99,60.25,102.7,166.2,40.94,179.45,95.55,49.18,51.57,80.98,130.85,143.2,118.82,122.61,171.02,24,15.44,39.09,86.18,31.75,45.08,20.66,57.47,184.8,89.75,73.48,37.83,36.6,38.41,41.39,29.99,70.47,19.77,46.66,48.84,26.92,76.92,22.76,17.41,49.64,47.99,83.69,55.78
SLC12A9_Alt,Aditi,gain,282.07,1045.62,225.8,423.16,2571.71,353.98,662.8,143.78,1163.41,532.25,427.91,218.4,113.11,192.77,111.34,73.6,70.94,47.53,130.04,167.13,83.25,81.27,31.27,163.04,123.88,43.41,42.69,91.18,148.97,193.09,175.53,113.5,80.18,165.65,112.34,73.01,161.56,109.24,58.32,112.91,120.26,174.17,29,74.27,88.06,81.3,56.19,92.67
SLC25A42_A,Aditi,gain,94.02,1045.62,677.39,120.9,857.24,117.99,60.25,41.08,332.4,307.07,110.43,40.95,49.18,8.59,5.06,16.36,6.57,42.04,55.73,27.21,3.75,8.94,3.13,20.96,6.23,28.38,11.93,19.54,142.68,16.32,10.21,18.92,10.46,12,17.74,6.23,39.53,4.68,3.33,10.62,2.69,30.48,5.51,3.48,9.46,6.37,19.04,13.5
SMTN_Alt,Aditi,gain,47.01,1045.62,225.8,60.45,857.24,117.99,120.51,61.62,166.2,20.47,69.02,13.65,4.92,41.75,40.49,16.36,73.57,49.36,55.73,143.81,56.25,88.58,70.36,142.08,42.95,68.45,37.18,126.81,328.11,138.7,77.56,88.28,66.93,28.81,60.61,54.33,53.28,26.53,61.65,69.37,30.51,39.19,45.16,83.56,30.14,47.99,67.71,52.18
SORBS2_Alt,Aditi,loss,47.01,4182.48,1128.98,60.45,2571.71,707.96,301.27,41.08,332.4,81.88,41.41,81.9,14.75,15.96,40.49,40.89,23.65,25.59,40.87,68.02,13.5,22.75,17.2,53.57,9.96,13.36,15.15,140.61,163.43,24.48,36.74,201.78,18.13,9.6,7.39,13.02,18.91,7.28,11.66,12.39,8.08,13.06,4.77,13.93,8.87,10.28,16.22,11.7
STARD10_A,Aditi,gain,94.02,1045.62,451.59,60.45,857.24,117.99,241.02,123.24,166.2,40.94,55.21,109.2,34.42,78.58,40.49,89.96,151.08,122.48,122.61,693.8,122.99,97.52,103.19,174.69,94,113.54,72.07,216.47,549.99,312.76,189.82,145.03,158.62,45.61,57.65,135.26,101.41,95.71,104.98,151.84,78.08,58.06,117.12,125.33,96.93,141.04,133.76,125.96
TEAD1_A_1,Aditi,gain,799.21,1045.62,2257.95,1148.57,3428.95,1415.93,1385.86,246.48,1828.21,1371.56,1159.5,436.8,211.46,39.29,247.99,359.83,220.71,210.22,457.01,396.45,73.12,133.28,112.57,263.2,51.67,94.33,65.18,224.13,599.02,407.94,487.82,605.35,123.41,144.04,291.2,59.42,194.22,70.22,133.31,76.1,140.91,120.47,52.13,99.8,79.79,59.75,153.98,124.16
TEAD1_A_2,Aditi,gain,94.02,1045.62,225.8,120.9,857.24,117.99,120.51,61.62,166.2,40.94,13.8,13.65,4.92,4.91,15.18,8.18,3.94,7.31,26.01,99.11,17.62,17.07,14.07,41.93,8.72,18.37,13.31,50.19,154,19.04,18.37,75.67,20.92,7.2,4.43,7.36,22.34,5.2,13.33,19.11,4.49,10.16,11.01,4.64,21.87,33.79,34.32,34.19
TFDP2_A,Aditi,gain,4137.09,3136.86,2483.75,7133.21,1714.48,1533.92,2470.45,308.1,3324.02,2558.89,2457.03,1951.96,1145.81,514.46,1098.26,1406.61,1647.41,965.2,1040.35,1136.89,441.72,182.85,1181.99,284.16,255.23,355.63,313.06,362.05,659.99,1312.67,2508.51,353.12,367.79,1514.82,576.49,758.92,317.97,303.26,471.58,313.6,1361.5,889.71,200.45,546.6,290.18,403.05,319.01,331.99
